full_name,Y
git/git,1
bilibili/ijkplayer,2
julycoding/The-Art-Of-Programming-By-July,3
ggreer/the_silver_searcher,1
stedolan/jq,1
vurtun/nuklear,2
numpy/numpy,1
memcached/memcached,1
irungentoo/toxcore,2
git-up/GitUp,1
libgit2/libgit2,1
facebook/zstd,1
raspberrypi/linux,1
nodemcu/nodemcu-firmware,1
jonas/tig,1
videolan/vlc,1
postgres/postgres,1
contiki-os/contiki,1
nanomsg/nanomsg,2
lpereira/lwan,1
mruby/mruby,1
borgbackup/borg,1
bartobri/no-more-secrets,1
jonls/redshift,1
sqlcipher/sqlcipher,1
FreeRDP/FreeRDP,1
tmk/tmk_keyboard,1
cloudius-systems/osv,1
DaveDavenport/rofi,1
cmus/cmus,1
vanhoefm/krackattacks-scripts,1
ms-iot/samples,2
robotmedia/RMStore,2
msysgit/msysgit,2
P-H-C/phc-winner-argon2,1
universal-ctags/ctags,1
fontforge/fontforge,1
madler/zlib,2
alibaba/tsar,1
ohler55/oj,1
IoLanguage/io,2
lloyd/yajl,2
libusb/libusb,1
raspberrypi/userland,1
irssi/irssi,1
tvheadend/tvheadend,1
Qihoo360/phptrace,2
audacity/audacity,1
veracrypt/VeraCrypt,1
paparazzi/paparazzi,1
zephyrproject-rtos/zephyr,1
vlfeat/vlfeat,2
dlundquist/sniproxy,1
netblue30/firejail,1
panda-re/panda,1
google/honggfuzz,1
megous/megatools,4
sgminer-dev/sgminer,2
cesanta/v7,2
haproxy-unofficial-obsolete-mirrors/haproxy,2
eunyoung14/mtcp,2
a0rtega/pafish,2
the-tcpdump-group/tcpdump,1
jgarff/rpi_ws281x,1
traviscross/mtr,1
Celtoys/Remotery,1
EtchedPixels/FUZIX,1
raysan5/raylib,1
karlstav/cava,1
nesbox/TIC-80,1
vmware/open-vm-tools,1
koush/android_system_core,2
iNavFlight/inav,1
confluentinc/confluent-kafka-python,1
openssh/openssh-portable,1
alibaba/ApsaraCache,2
danielgtaylor/jpeg-archive,1
orangeduck/Corange,1
bitcraze/crazyflie-firmware,1
libav/libav,2
seemoo-lab/nexmon,1
commonmark/cmark,1
openbsd/src,1
kaltura/nginx-vod-module,1
checkpoint-restore/criu,1
strongswan/strongswan,1
GNOME/glib,1
gpac/gpac,1
buserror/simavr,1
coreutils/coreutils,1
gnab/rtl8812au,1
OP-TEE/optee_os,1
pgbouncer/pgbouncer,1
FRRouting/frr,1
lanoxx/tilda,1
yasm/yasm,1
TheOfficialFloW/VitaShell,1
emsec/ChameleonMini,1
netsniff-ng/netsniff-ng,1
corosync/corosync,1
DuyTrandeLion/BLE_Bike_mbed_os,2
LILIDD/FFmpeg,2
NurKeinNeid/dharma_kernel_nextbit_msm8992,2
nexjhealth/x264,2
antirez/disque,2
MZO9400/android_device_oneplus_bacon-Minimal,2
SamyPesse/How-to-Make-a-Computer-Operating-System,2
sdegutis/mjolnir,1
rootmelo92118/SoftEtherVPN_Stable,2
axxx007xxxz/android_hardware_qcom_audio,2
tizenorg/platform.upstream.libva-intel-driver,2
ZdrowyGosciu/caf_device,2
fogleman/Craft,1
furthestworld/-pecl-php-memcache,2
lyzsh/apv,2
michaelarmstrong/mongoose,2
bluelinkgaming/nintendon-t,2
TurokMods/T4Editor,2
macks22/comdetect,2
michaelsvit/FIAR,3
dasfoo/rpi-gpio,4
ahmadfahmip/syntax-validator-tbfo,3
JamesH65/GertMatrix,4
zishuiym/vim,2
dlopez890/skipfish,2
Cisteaux/gimp-dds,2
tluyben/php-for-android,2
XPila/HW,3
j4cobgarby/raytracer,2
stefanesser/opensource_taig,2
id-Software/Quake-III-Arena,2
DeXP/xkb-switch-win,2
satya1993/jenkins,4
enchev/ios-ng2-tns,3
janiex/TheRQMProject,2
c0untd0wn/pintos,3
Estwald/PSDK3v2,2
ColinGilbert/stringencoders,2
mareku322/diosmios,2
neutrak/accirc,1
LSayhi/book-paper-note,3
Jesse-V/RLAGS-USU,2
stijnmeul/thesis,3
yubaoliu/Library,3
arii/FollowTheYellowBrickRoad,3
AdnanHaiderAD/MSc-Dissertation,3
wenshuai-xi/Document,3
clhne/mybook,3
lisider/my_book,3
Gloader/Laboratory,3
lianhongHou/books,3
yjjing/ebooks,3
yash98/Semester3-StudyMaterial,3
olinrobotics/irl,2
piaoshuai/DVD_BOOK,3
tgut/books,3
vania-mendonca/BookFinder,3
Leon555/Books-Programming,3
isislovecruft/library--,3
K0-0K/book,3
klmr92/uguu,2
VhJoren/CompPhys-Exercise-2,4
Larzdk/Learning,4
yenng/RNG,3
HanaAsakura/Juan_Aguilar_hw6,3
prachi-shahi/HelloWorld,4
maxmiru/HelloWorld,4
cbyu/hello-program,4
pietrobarbiero/hello-world,4
chengyihe/kernel-module-debugfs_hello,4
wdzhu82/npapi-chrome-plugin-helloworld-example,3
reksi0/helloworld,4
nchronas/Hello-C,4
wayzyaw/first_hello,4
yuqi1129/helloworld,4
Martyn-MSys/Hello-git,4
VictaminC/helloworld,4
MoMoWan/hello1,4
yujacha/command_hello,4
LimboLee/HelloWorld,4
yuzhigangcn/helloworld-test,4
chienhua7243/TestFile,4
takano32/CodeIQ-Challenge-2518,4
tsubone/hello-world,4
TEAM-RAZOR-DEVICES/device_oneplus_oneplus2_old,2
xaviedga/Mytest,4
huangjiehua/xiaohua,4
anontruck/Mytest,4
akshit-sharma/ODM,4
HuyGemini/Array,4
wanksta/FirstCodeOnGitHub,4
mohanasundari/sample_repo_1,4
HyOsori/git_example,4
yoichiyaguchi/miru-wakate,4
michaelfeinberg/ListHW,4
mju-oss-class/sample_proj1,4
MidweekGames/gmBASS,4
nandujkishor/open-web-build,4
CPTS224/HW4,4
gandarela/LLRedBlack,4
adarsh3010/example.c,4
yaejin91/the-c-programming-language,4
Unsonghero/home-exercise,4
DevTLBB/Launch,2
GMECE/PROGRAMS,4
ArenMarkBoghozian/Mathematics,4
Git-Math/malloc,4
brunomatheusc/Algorithms,4
zpfd3d/MyNote2,4
concretecloud/chirp,1
ArchSirius/inf2610,2
lecram/gifenc,2
openspaceaarhus/ZABLET,2
TadaNoButa/GTK_Glade_C_Treeview_Test,4
alzomor/Test-Project,4
argyi2378/hello-world,4
vasisht/fastq_splitter,2
Integreight/1Sheeld-Firmware,2
fcr--/lua-matrix,3
medivhna/template_adaptation,2
HybridAlpaca/Raptor,2
JamesCrook/audacity-from-svn-5GB,2
neftons-poker-lab/Poker_FSM,4
christophbeatty/gnome-mplayer,2
renkun/u8glib,2
PierreBougon/RayTracer,2
radiganm/sandbox,2
panaC/libft,3
ananjaser1211/RefinedNougat,2
Helioform/d3dRTCW,2
JvanKatwijk/swradio-8,1
barryo/attila-libss7,2
facchinm/Arduino_avrusb_firmware,2
msikma/liballeg.4.4.2-osx,2
meepingsnesroms/libretro-palmm515emu,2
escalade/LEDE,2
sylcrq/libevent,2
essteban/ofxImageTS,3
rryqszq4/php7-ext-jsonrpc,2
svn2github/ccl,2
f0rb1dd3n/cve-2010-4221,3
eggfly/LinkItProjects,3
Nikesh001/android_kernel_xiaomi_msm8937,2
lldavuull/PWM,2
keith-epidev/deltabot,2
david-wang-1/ghost-mouse,3
RockySong/micropython-rocky,1
bcomnes/fpga-lab,3
smurfjack/MJOY16-CN,3
lalalaring/AdbWide,3
ghosoft/FlashLedSW,1
satanthedoge/Arduinomodule1,3
pdroaugust/waytickets,3
x42/convoLV2,1
atrisovic/yadageexamples,4
gitpan/Net-Sharktools,3
SpicedEggs/decimal_turn,4
az333/31-10-17-systems,4
sgfowler98/TCPServer,3
mingzhou-yang/LeetCode,3
Swainstha/GPIB_To_DRAW,3
kitsune-denshi/sysmon,3
5icode/mydpp,4
noitojp/nutil,4
shun-yo/cethping,3
onkar37/ROD,3
aignacio/esp_rgb,3
JIAQIA/static_power,4
sdu-hpcl/BGSA,2
uccs/librte,2
FluidSynth/fluidsynth,1
vitasdk/samples,1
drhelius/Gearboy,1
kuro68k/Retro-Adapter,2
hachque-Emscripten/libpng-1.2.49,2
Masuzu/RumourPropagation,3
google/j2cl,1
EssentialsX/Essentials,1
DraqueT/PolyGlot,1
goxr3plus/JavaFX-Web-Browser,1
CleverTap/apns-http2,1
maxmpz/powerampapi,1
apache/directory-fortress-core,1
coffeenet/coffeenet-starter,1
camunda/camunda-external-task-client-java,1
OpenDA-Association/OpenDA,1
sburlyaev/IDEA-Native-Terminal-Plugin,1
l0s/fernet-java8,1
cloudiator/common,1
jsurfer/JsonSurfer,1
iningcha/Kindler,3
keepcosmos/beanmother,2
agentsoz/bdi-abm-integration,2
NightKosh/Gravestone-mod-Graves,2
eleybourn/Book-Catalogue,2
bookshelf/bookshelf,1
Darkhax-Minecraft/Bookshelf,2
northbright/Notes,3
laurent22/joplin,1
audreyr/favicon-cheat-sheet,3
Laverna/laverna,2
cs231n/cs231n.github.io,3
jeffgerickson/algorithms,3
datawhalechina/leeml-notes,3
hackmdio/codimd,1
conventional-changelog/conventional-changelog,1
jrnl-org/jrnl,1
dennybritz/deeplearning-papernotes,3
roboticcam/machine-learning-notes,3
lguipeng/Notes,2
stanfordnlp/cs224n-winter17-notes,3
stephen/airsonos,2
JerryLead/SparkInternals,3
andremion/Music-Player,2
simpulton/noterious,2
ethereum/pm,3
sbrissen/android_device_samsung_l900,2
abimiller15/netart_notes,4
jesseseligman/notebook,4
enoch11/hello-world,4
MiCode/Notes,2
heibaiying/BigData-Notes,1
OpenFlutter/Flutter-Notebook,1
federicoiosue/Omni-Notes,1
scalad/Note,2
notepad-plus-plus/notepad-plus-plus,2
taichi-dev/taichi,1
lijin-THU/notes-python,2
donnemartin/system-design-primer,3
futurepress/epub.js,1
yunjey/pytorch-tutorial,3
Hvass-Labs/TensorFlow-Tutorials,1
docker/labs,3
Taeung/git-training,3
miyosuda/TensorFlowAndroidMNIST,2
Moskize91/TaolanTutorial,3
dvdhrm/docs,2
lugolabs/tutorials,2
MorvanZhou/tutorials,2
appium-boneyard/tutorial,2
yiblet/tutorial,3
j4w3d/tutorial,3
praveenkarthik/tutorial,4
julianjjo/tutorial,3
Debug-Orz/Tutorial,4
buckyroberts/Source-Code-from-Tutorials,2
nlintz/TensorFlow-Tutorials,2
windiest/Front-end-tutorial,3
MorvanZhou/Reinforcement-learning-with-tensorflow,1
Yixiaohan/show-me-the-code,3
judasn/Linux-Tutorial,1
winterbe/java8-tutorial,2
ming1016/study,1
changwookjun/StudyBook,3
keesun/study,1
hoanhan101/ultimate-go,1
cokecoffe/ios-demo,2
ggj2010/javabase,2
CJ-bot/study,3
dongdeshaui-cn/super-dong,4
BombinS/yandex_frontend_first,4
aiandrox/qanda,3
bakery-blueprint/whitebreadman-spring,4
konglx90/knote,3
nickchen120235/notes,4
iamaustin316/note,4
Waynesway/note,4
enurod/InstaGraph,4
iwag/underscore_cpp,4
emonkak/lambdabot-skype-plugins,4
RIbragimov-NYc/CodeAcademy,4